Sum of Amount,Column Labels,,,,,,,,,,,Sum of Debit,Column Labels,,,,,,,,
Row Labels,dallas ltr,desibazaar,dextra,google,grand pines,live organics,personal,(blank),grandpines,Grand Total,,Row Labels,dallas ltr,desibazaar,dextra,google,grand pines,live organics,personal,(blank),Grand Total
accounting fees,,,-858,,,,-80,,,-938,,accounting fees,,,-717,,,,-10,,-727
bank fees ,,,"-26,424",,,,,,,"-26,424",,bank fees ,,,"-17,793",,,,,,"-17,793"
beauty,,,,,,,-119,,,-119,,beauty,,,,,,,-168,,-168
charity,,,,,,,"-8,400",,,"-8,400",,charity,,,"-3,945",,,,"-2,300",,"-6,245"
clothes,,,,,,,"-2,505",,,"-2,505",,clothes,,,-89,,,,"-3,636",,"-3,725"
credit card payments,,,"-7,756",,,,"-219,803",,,"-227,559",,credit card payments,,,"-195,390",,,,"26,932",,"-168,457"
desi bazaar,,"-5,000",,,,,,,,"-5,000",,desi bazaar,,"-2,000",,,,,,,"-2,000"
dues and subscriptions,"-1,125",-128,"-3,852",,"-1,822",,,,-130,"-7,057",,dues and subscriptions,-948,-128,"-5,166",,"-1,139",,-260,,"-7,641"
entertainment,,,"-7,462",,,,,,,"-7,462",,entertainment,,-56,"-8,462",,,,-379,,"-8,897"
fitness,,,-195,,,,-585,,,-780,,fitness,,,"-1,139",,,,"-2,089",,"-3,228"
gas,,,"-2,118",,,,-309,,,"-2,427",,gas,,-19,"-1,064",,"-1,280",,-700,,"-3,064"
grocery,,,,,,,"-2,265",,,"-2,265",,grocery,,,,,,,"-2,623",,"-2,623"
home office,,,"-3,076",,,,,,,"-3,076",,home office,,,"-2,588",,,,,,"-2,588"
income,"49,600",,"238,774","224,734","81,586",,"7,952",,,"602,646",,income,"78,170",,"320,060","190,102","80,317","1,440","8,122",,"678,211"
insurance,,,"-10,439",,"-7,482",,,,,"-17,921",,insurance,,,"-10,448",,"-6,056",,,,"-16,504"
lease,,,"-8,595",,,,,,,"-8,595",,maintenance,"-1,440",,-541,,"-19,040",,,,"-21,021"
maintenance,-300,,-975,,"-15,733",,,,,"-17,008",,meals,,-134,"-3,541",,-459,,"-28,371",-15,"-32,519"
meals,,-19,"-9,756",,-104,,"-17,314",,,"-27,193",,medical,,,,,,,"-6,176",,"-6,176"
medical,,,,,,,"-1,377",,,"-1,377",,miscellaneous,670,"-21,615","-2,835",,-364,,"-12,484",,"-36,628"
miscellaneous,"-7,374","-8,715","-2,130",,,,"-38,094",,"-1,240","-57,553",,mortgage,"-74,224",,,,"-73,200","-53,031","-61,777",,"-262,232"
mortgage,"-70,713",,,,"-73,200","-53,031","-58,576",,,"-255,520",,reimbursed employee expenses,,,-699,,,,,,-699
reimbursed employee expenses,,,-906,,,,,,,-906,,rent,"13,192",,,,,,,,"13,192"
rent,"6,530",,,,,,,,,"6,530",,repairs,,,"-4,246",,-566,,,,"-4,812"
repairs,"-5,802",,"-3,817",,"-3,000",,"-3,837",,,"-16,456",,supplies,,,"-5,816",,"-29,243",,"-12,692",0,"-47,751"
supplies,,,"-3,544",,"-14,366",,"-3,458",,,"-21,369",,taxes,,,"-25,000",,,,"-24,718",,"-49,718"
taxes,,,,,"-11,011",,"39,731",,,"28,720",,telephone,,,"-2,572",,,,,,"-2,572"
telephone,,,"-3,242",,,,,,,"-3,242",,tolls,,,"-3,148",,,,,,"-3,148"
tolls,-640,,-537,,"-1,280",,,,,"-2,457",,travel,,,"-54,741",,,,"-14,854",,"-69,595"
travel,,,"-58,533",,,,"-7,004",,,"-65,537",,tuition,,,,,,,"-23,816",,"-23,816"
tuition,,,,,,,"-1,194",,,"-1,194",,utilities,-749,,"-17,243",,"-10,887",,-12,,"-28,892"
utilities,"-1,059",,"-16,375",,"-10,899",,,,,"-28,333",,(blank),,,,,,,,,
(blank),,,,,,,,,,,,Grand Total,"14,671","-23,951","-47,122","190,102","-61,918","-51,591","-162,010",-15,"-141,834"
Grand Total,"-30,884","-13,862","68,186","224,734","-57,313","-53,031","-317,237",,"-1,370","-180,777",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Miles Driven,11025,,14151,,2345,1023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2024,,Mortgage Interest,Real Estate Taxes,Insurance,,,,,,,,,,,,,,,
,PennyMac,Crandall,,"$10,688.22 ","$7,409.45 ",1064.04,,,,,,,,,,,,,,,
,Chase,Forney Montrose,,"$8,846.96 ","$8,362.42 ",2186,,,,,,,,,,,,,,,
,LakeView,Forney Determine,,"$10,265.68 ","$7,348.71 ","$3,529.72 ",,,,,,,,,,,,,,,
,,,,"$29,800.86 ","$23,120.58 ","$6,779.76 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2025,,Mortgage Interest,Real Estate Taxes,Insurance,,,,,,,,,,,,,,,
,PennyMac,Crandall,,"$10,530.59 ","$7,409.45 ",2560,,,,,,,,,,,,,,,
,Chase,Forney Montrose,,"$8,665.29 ","$8,082.73 ",2186,,,,,,,,,,,,,,,
