Timestamp,Ticker,Name,Industry,Price,Technicals,Fundamentals,Signal,AI Score,Quant Score
2026-04-26 23:11,NVDA,NVIDIA Corporation,Semiconductors,208.27,"STRONG UP, RSI:86.68, Vol:1.42x","P/E:42.58896, Growth:0.732",HOLD,55,53
2026-04-26 23:11,SOXL,Direxion Daily Semiconductor Bull 3X Shares,N/A,128.32,"STRONG UP, RSI:99.01, Vol:0.96x","P/E:96.59293, Growth:N/A",SELL,50,27
2026-04-26 23:12,AMD,"Advanced Micro Devices, Inc.",Semiconductors,347.81,"STRONG UP, RSI:97.44, Vol:2.11x","P/E:133.2567, Growth:0.341",HOLD,50,52
2026-04-26 23:12,TQQQ,ProShares UltraPro QQQ,N/A,62.56,"STRONG UP, RSI:90.45, Vol:0.85x","P/E:45.69548, Growth:N/A",SELL,50,32
2026-04-26 23:13,POET,POET Technologies Inc.,Semiconductors,15.1,"STRONG UP, RSI:84.75, Vol:3.25x","P/E:N/A, Growth:10.753",HOLD,50,52
2026-04-26 23:13,WU,The Western Union Company,Credit Services,8.9,"WEAK DOWN, RSI:53.66, Vol:5.4x","P/E:5.8552628, Growth:-0.001",HOLD,50,47
2026-04-26 23:14,HIMS,"Hims & Hers Health, Inc.",Drug Manufacturers - Specialty & Generic,30.56,"STRONG UP, RSI:77.69, Vol:1.25x","P/E:59.92157, Growth:0.284",HOLD,50,42
2026-04-26 23:15,ENVB,"Enveric Biosciences, Inc.",Biotechnology,5.04,"STRONG UP, RSI:80.85, Vol:3.77x","P/E:N/A, Growth:N/A",SELL,50,37
2026-04-26 23:15,SMCI,"Super Micro Computer, Inc.",Computer Hardware,29.08,"STRONG UP, RSI:77.14, Vol:1.22x","P/E:21.226276, Growth:1.234",HOLD,50,57
2026-04-26 23:16,OPEN,Opendoor Technologies Inc.,Real Estate Services,5.51,"STRONG UP, RSI:71.03, Vol:1.04x","P/E:N/A, Growth:-0.321",SELL,50,37
2026-04-26 23:16,EOSE,"Eos Energy Enterprises, Inc.",Electrical Equipment & Parts,7.67,"STRONG UP, RSI:76.75, Vol:1.29x","P/E:N/A, Growth:6.996",HOLD,50,47
2026-04-26 23:17,OGN,Organon & Co.,Drug Manufacturers - General,11.26,"STRONG UP, RSI:78.22, Vol:3.52x","P/E:15.638888, Growth:-0.053",HOLD,50,47
2026-04-26 23:17,QCOM,QUALCOMM Incorporated,Semiconductors,148.85,"STRONG UP, RSI:83.41, Vol:2.79x","P/E:30.010082, Growth:0.05",SELL,50,37
2026-04-26 23:18,MXL,"MaxLinear, Inc.",Semiconductors,60.32,"STRONG UP, RSI:99.9, Vol:7.73x","P/E:N/A, Growth:0.43",HOLD,50,52
2026-04-26 23:19,SOUN,"SoundHound AI, Inc.",Software - Application,8.19,"STRONG UP, RSI:67.53, Vol:1.14x","P/E:N/A, Growth:0.594",HOLD,50,52
2026-04-26 23:19,ATOM,Atomera Incorporated,Semiconductor Equipment & Materials,8.6,"STRONG UP, RSI:84.81, Vol:12.56x","P/E:N/A, Growth:1.174",HOLD,50,52
2026-04-26 23:19,NVO,Novo Nordisk A/S,Drug Manufacturers - General,41.17,"STRONG UP, RSI:73.29, Vol:1.55x","P/E:11.404432, Growth:-0.076",HOLD,25,52
2026-04-26 23:20,AMDL,GraniteShares 2x Long AMD Daily ETF,N/A,34.3,"STRONG UP, RSI:97.35, Vol:2.11x","P/E:N/A, Growth:N/A",SELL,50,37
2026-04-26 23:20,SLB,SLB N.V.,Oil & Gas Equipment & Services,56.15,"STRONG UP, RSI:79.57, Vol:1.44x","P/E:24.735683, Growth:0.027",HOLD,50,47
2026-04-26 23:21,ARM,Arm Holdings plc,Semiconductors,234.81,"STRONG UP, RSI:92.45, Vol:2.45x","P/E:313.08, Growth:0.263",HOLD,50,47
2026-04-26 23:22,CLF,Cleveland-Cliffs Inc.,Steel,9.76,"STRONG UP, RSI:65.19, Vol:1.22x","P/E:N/A, Growth:0.063",HOLD,50,42
2026-04-26 23:22,DKNG,DraftKings Inc.,Gambling,23.18,"STRONG UP, RSI:51.95, Vol:1.38x","P/E:N/A, Growth:0.428",HOLD,50,49
